RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.2517674071985337,24.0,0.0,0.3986787246470221,49649.0,7.0,0.0,1.0,0.0,1.0,0
1.0135902176380915,52.0,0.0,0.5133793908728228,20554.0,5.0,0.0,1.0,0.0,2.0,0
0.6446289515754732,46.0,0.0,0.4637718529214584,19391.0,3.0,0.0,1.0,0.0,1.0,0
0.4814729219628688,40.0,0.0,0.283337185116709,25962.0,3.0,0.0,1.0,0.0,0.0,0
0.25210761970069784,39.0,0.0,0.23520632487596305,24791.0,3.0,0.0,1.0,0.0,0.0,0
0.4433001390189236,46.0,0.0,0.466337560643459,46996.0,7.0,0.0,1.0,0.0,0.0,0
0.8994666162965361,26.0,0.0,0.39124099409050433,37059.0,6.0,0.0,1.0,0.0,2.0,0
2.0,41.0,1.0,0.27944444444444444,18000.0,3.0,0.0,2.0,0.0,0.0,1
1.8518518518518519,46.0,0.0,0.43244444444444446,18000.0,4.0,0.0,1.0,0.0,0.0,0
0.49056159491385737,60.0,1.0,0.25422864094815745,25481.0,4.0,0.0,1.0,0.0,0.0,1
0.6938951108150492,52.0,1.0,0.3285107623131687,48038.0,6.0,0.0,1.0,0.0,0.0,0
0.2322470365278139,48.0,1.0,0.4111701534688417,26911.0,5.0,1.0,1.0,1.0,0.0,0
0.2638243984803715,33.0,0.0,0.24050232165470664,47380.0,5.0,0.0,1.0,0.0,1.0,0
2.0,39.0,1.0,0.39985253067888554,18987.0,3.0,1.0,2.0,1.0,2.0,0
0.7098723365589932,57.0,0.0,0.09816682567807006,29348.0,2.0,0.0,1.0,0.0,1.0,0
2.0,40.0,0.0,0.42925861850711,23699.0,5.0,0.0,2.0,0.0,0.0,0
2.0,22.0,0.0,0.25788179972213315,18714.0,2.0,0.0,2.0,0.0,0.0,0
0.6944444444444444,60.0,1.0,0.5125555555555555,18000.0,4.0,1.0,1.0,1.0,0.0,0
0.33251755692700574,24.0,1.0,0.441317301553522,18796.0,3.0,0.0,1.0,0.0,1.0,0
0.6944444444444444,42.0,0.0,0.2157777777777778,18000.0,3.0,0.0,1.0,0.0,0.0,1
0.41508932722321845,25.0,0.0,0.32699076841336255,30114.0,4.0,0.0,1.0,0.0,0.0,0
0.17705382436260622,60.0,1.0,0.5079886685552408,35300.0,5.0,0.0,1.0,0.0,0.0,0
0.23986797666564322,59.0,0.0,0.20855081363217684,52112.0,5.0,0.0,1.0,0.0,1.0,0
0.14882369749499952,59.0,0.0,0.26752547861701115,41996.0,5.0,0.0,1.0,0.0,2.0,0
0.16253608301042832,51.0,0.0,0.20794216316022157,38453.0,3.0,0.0,1.0,0.0,0.0,0
2.0,22.0,1.0,0.1704592356162122,36343.0,3.0,1.0,2.0,1.0,2.0,1
2.0,52.0,0.0,0.2051111111111111,18000.0,2.0,0.0,2.0,0.0,0.0,0
0.08770575770758199,59.0,1.0,0.3888241815298691,71261.0,8.0,1.0,1.0,1.0,0.0,0
0.22857769813114873,50.0,1.0,0.4076728961708664,27343.0,5.0,0.0,1.0,1.0,0.0,0
0.7592322643343051,33.0,1.0,0.3814139941690962,27440.0,5.0,1.0,1.0,1.0,0.0,0
1.3808340237503451,26.0,1.0,0.10292736813035074,36210.0,3.0,1.0,2.0,1.0,0.0,0
0.7425889621576665,54.0,0.0,0.44238103724826233,28055.0,4.0,0.0,1.0,0.0,0.0,0
2.0,55.0,1.0,0.3529803308150564,30047.0,5.0,0.0,2.0,1.0,0.0,0
2.0,42.0,0.0,0.27693195294720985,31199.0,3.0,0.0,2.0,0.0,0.0,0
1.1574074074074074,26.0,1.0,0.3471666666666667,18000.0,3.0,1.0,1.0,1.0,0.0,1
0.2995016292888633,39.0,1.0,0.1267970097757332,41736.0,2.0,0.0,1.0,1.0,0.0,0
1.174039635578097,36.0,1.0,0.3903446980370057,42588.0,6.0,1.0,2.0,1.0,2.0,0
0.31963587081596645,30.0,0.0,0.16835860587618584,39107.0,3.0,0.0,1.0,0.0,0.0,0
0.16475550283379464,54.0,1.0,0.10083036773428232,37935.0,2.0,1.0,1.0,1.0,0.0,1
1.9752384112762411,44.0,1.0,0.4509943350162365,42189.0,7.0,0.0,2.0,1.0,1.0,0
2.0,39.0,0.0,0.4787743108996782,35735.0,6.0,0.0,2.0,0.0,1.0,0
1.1574074074074074,34.0,1.0,0.16627777777777777,18000.0,2.0,0.0,1.0,1.0,0.0,0
1.8289560318969933,57.0,0.0,0.5243982734655059,27338.0,6.0,0.0,2.0,0.0,1.0,0
1.1952286472402172,51.0,1.0,0.3163531183515407,41833.0,5.0,0.0,2.0,1.0,0.0,0
1.1265828489027083,24.0,0.0,0.35717182641611467,29588.0,5.0,0.0,1.0,0.0,0.0,0
2.0,38.0,1.0,0.3468333333333333,18000.0,4.0,0.0,2.0,1.0,1.0,0
0.550248712418013,27.0,0.0,0.35805784214464936,22717.0,3.0,0.0,1.0,0.0,0.0,0
1.4625442419633194,30.0,0.0,0.2960482054582151,34187.0,5.0,0.0,2.0,0.0,2.0,0
